Topic,Count,Name,0,1,2,3,4,5,6,7,8,9
52,206,52_femme_homme_égalité_enfant,femme,homme,égalité,enfant,femm,égal,divorcer,veuve,égaliter,élever
53,202,53_patron_collectif_entrepreneur_risque,patron,collectif,entrepreneur,risque,développeur,vitrier,sarl,courroie,paysagiste,peintre
54,198,54_élection_vote_voter_démocratie,élection,vote,voter,démocratie,législatif,électeur,référendum,blanc,français,république
55,195,55_ric_mise_matière_place,ric,mise,matière,place,démission,mécringe,macron,mauclain,baisse,keurmeur
56,192,56_fiscal_fiscalité_paradis_impôt,fiscal,fiscalité,paradis,impôt,évasion,tranche,optimisation,français,payer,revenu
57,190,57_suppression_diminution_csg_réduction,suppression,diminution,csg,réduction,ancien,député,avantage,isf,rétablissement,sénateur
58,185,58_transition_écologique_écologie_énergie,transition,écologique,écologie,énergie,ecologie,environnement,énergétique,ecologiqu,peseu,planète
59,184,59_victime_relaxe_appel_acquittement,victime,relaxe,appel,acquittement,pénal,civil,second,tribunal,ravageur,correctionnel
60,183,60_légalisation_euthanasie_mourir_ifop,légalisation,euthanasie,mourir,ifop,létal,actif,sondage,décéder,réanimation,contraception
61,180,61_contribution_thème_coordonnée_dysfonctionnement,contribution,thème,coordonnée,dysfonctionnement,approfondi,indique,souhaiter,75020,citoyenneté,analyse
62,171,62_incivilité_civique_collective_engagement,incivilité,civique,collective,engagement,comportement,pénible,promouvoir,quotidien,parcours,valoriser
63,163,63_paris_formulaire_backoffice_mairie15,paris,formulaire,backoffice,mairie15,textarea_fl6_12,text_fl6_8,textarea_fl6_25,mailto,reply,no
64,152,64_md_travailler_retraité_retraite,md,travailler,retraité,retraite,potentiel,noulette,revoir,augmentation,enfant,augmenter
65,151,65_justice_violence_police_prison,justice,violence,police,prison,policier,belhomme,islamique,fermenter,délinquant,marque
66,148,66_observation_fanny_active_dématérialiser,observation,fanny,active,dématérialiser,democratie,déposer,registre,larios,privacy,pina
67,147,67_fr_secrétariat_cahierscitoyens_granddebat,fr,secrétariat,cahierscitoyens,granddebat,joindre,wanadoo,pièce,ko,pdf,mairie
68,146,68_monsieur_prier_préfet_boulevard,monsieur,prier,préfet,boulevard,réception,fr,février,cedex,fax,joint
69,142,69_consultation_thématique_prononcer_inviter,consultation,thématique,prononcer,inviter,issue,lancer,remarque,thème,autour,commentaire
70,141,70_février_registre_clôturer_clore,février,registre,clôturer,clore,mercredi,maire,cloturé,clôture,cahier,12h00
71,140,71_secrétariat_medoc_lesparre_automatic,secrétariat,medoc,lesparre,automatic,33340,civilité,envoyer,envoyé,message,secretariat
72,140,72_migratoire_immigration_définir_durer,migratoire,immigration,définir,durer,critère,contrepartie,défi,asile,intégration,fixer
73,138,73_laïcité_réciproque_intangible_renforcer,laïcité,réciproque,intangible,renforcer,compréhension,religion,engagement,application,garantir,hui
74,137,74_thématique_facultatif_solution_collecte,thématique,facultatif,solution,collecte,exprimer,habitant,doléance,date,doleance,nom
75,135,75_registre_parapher_clôturer_présent,registre,parapher,clôturer,présent,contenir,février,page,soussigner,maire,feuillet
76,135,76_légalisation_mourir_euthanasie_ifop,légalisation,mourir,euthanasie,ifop,létal,actif,sondage,décéder,intégrer,contraception
77,133,77_cahuzac_dividende_littéralement_poumon,cahuzac,dividende,littéralement,poumon,investissant,confiscatoire,étouffer,notr,soumettre,faite
78,132,78_sénateur_député_privilège_ministre,sénateur,député,privilège,ministre,abolition,ancien,président,république,assemblée,nombre
79,129,79_tribunal_justice_avocat_justiciable,tribunal,justice,avocat,justiciable,juge,jugement,judiciaire,magistrat,procédure,audience
80,129,80_musique_danse_musicien_conservatoire,musique,danse,musicien,conservatoire,tgap,violon,musical,théâtre,salle,redevance
81,128,81_service_maintient_proximité_rural,service,maintient,proximité,rural,sarcelle,maintien,public,passeport,identité,lisarre
82,128,82_cahier_débat_national_grand,cahier,débat,national,grand,citoyen,rimons,33353,83560,84400,60510
83,125,83_illustre_pacifiste_exaction_communiquera,illustre,pacifiste,exaction,communiquera,crise,recréer,malaise,constructif,invite,questionnaire
84,124,84_marseille_mdegert_submission_civilité,marseille,mdegert,submission,civilité,exposer,user,secteur,fr,10,35
85,121,85_libre_expression_faut_défi,libre,expression,faut,défi,quell,scientifiquement,concret,échelon,garantir,collectivite
86,120,86_amif_asso_secretariat_attention,amif,asso,secretariat,attention,traiter,association,contribution,date,fr,ordre
87,119,87_discrimination_incivilité_tolérant_témoin,discrimination,incivilité,tolérant,témoin,répandre,reculer,solidaire,construire,victime,lutter
88,118,88_erreur_oui_foi_affirmer,erreur,oui,foi,affirmer,vou,identifier,complexe,autonomie,défi,juger
89,117,89_hyeres_soumission_print_soumettre,hyeres,soumission,print,soumettre,dll,number,yes,http,198,168
90,113,90_transmettre_préfecture_référent_courrier,transmettre,préfecture,référent,courrier,observation,indiquer,transmission,page,départemental,mail
91,113,91_domaine_dépense_réponse_prioritaire,domaine,dépense,réponse,prioritaire,baisser,priorité,04,territorial,protection,attribution
92,113,92_impatiemment_suggestion_replacer_parole,impatiemment,suggestion,replacer,parole,identification,entamer,décisionnel,écoute,attentif,anonyme
93,112,93_neuilly_neuillyplaisance_pjulliard_plaisance,neuilly,neuillyplaisance,pjulliard,plaisance,secrétariat,thème,prénom,contact,com,adresse
94,112,94_rajout_rayer_clôture_comporte,rajout,rayer,clôture,comporte,cachet,clore,contestation,page,vierge,comptabiliser
95,111,95_cahier_débat_national_grand,cahier,débat,national,grand,citoyen,pezerit,lagruere,trelevern,baigneu,villereal
96,111,96_formulaire_facultatif_grenoble_solution,formulaire,facultatif,grenoble,solution,sce,reply,no,coordination,renseigner,thématique
97,111,97_hyeres_soumission_soumettre_secretariat,hyeres,soumission,soumettre,secretariat,utilisateur,anonyme,com,cabinet,formulaire,submission
98,110,98_victime_relaxe_appel_acquittement,victime,relaxe,appel,acquittement,pénal,détenu,peine,civil,conditionnel,libération
99,108,99_déclenchement_applicable_oui_consulter,déclenchement,applicable,oui,consulter,initiative,transformer,associer,sort,tirer,jouer
100,107,100_évoluer_renoncer_positif_complexe,évoluer,renoncer,positif,complexe,évolution,vou,démarche,cours,raison,manière
101,107,101_monsieur_voter_eurosuro_curo,monsieur,voter,eurosuro,curo,courrier,président,lettre,lecteur,voir,aller
102,106,102_immigration_migrant_immigrant_quota,immigration,migrant,immigrant,quota,illégal,arrêt,démission,frontière,pratiquant,émigration
103,106,103_commune_français_région_communauté,commune,français,région,communauté,métropole,habitation,département,projet,direction,directeur
104,104,104_aspiration_envoi_fondette_coordonnée,aspiration,envoi,fondette,coordonnée,rapporter,mars,consultation,document,nom,attention
105,101,105_jaune_gilet_soutenir_soutien,jaune,gilet,soutenir,soutien,vive,miassa,charrihat,ministan,ikllisibl,havard
106,100,106_veuve_part_demi_veuf,veuve,part,demi,veuf,remettre,rétablir,genopi,impôt,calcul,perrecy
107,100,107_patron_entrepreneur_sarl_risque,patron,entrepreneur,sarl,risque,gérant,dividende,développeur,vitrier,paysagiste,courroie
108,100,108_douloureuser_biodiversité_transition_impérieux,douloureuser,biodiversité,transition,impérieux,conteste,tarder,vieux,concret,massivement,échelon
109,100,109_climatique_érosion_crue_littoral,climatique,érosion,crue,littoral,alternatif,environnement,dérèglement,oui,biodiversité,quotidien
110,98,110_plomelin_finistère_illustre_questionnaire,plomelin,finistère,illustre,questionnaire,invite,fiche,remonter,revendication,remarque,prier
111,96,111_injurieux_expédier_discriminatoire_contribution,injurieux,expédier,discriminatoire,contribution,formulaire,vœu,thématique,libre,violent,lisible
112,95,112_csg_indexation_augmentation_revalorisation,csg,indexation,augmentation,revalorisation,suppression,retraite,pension,annulation,retraité,rétablissement
113,95,113_sénateur_député_privilège_x95,sénateur,député,privilège,x95,ancien,supprimer,cumul,ministre,diminution,mandat
114,94,114_patron_collectif_entrepreneur_courroie,patron,collectif,entrepreneur,courroie,développeur,vitrier,peintre,digital,restaurateur,tpe
115,91,115_animal_élevage_abattoir_chasse,animal,élevage,abattoir,chasse,cirque,maltraitance,corrida,abattage,chien,fourrure
116,91,116_bnri_retard_calendrier_réclamation,bnri,retard,calendrier,réclamation,triage,hiérarchiser,soyon,équipe,vigilance,nouvelle
117,90,117_arranger_calme_aller_chose,arranger,calme,aller,chose,tension,haineux,gagnerai,manifestant,vouloir,femme
118,89,118_inflation_indexation_indexer_retraite,inflation,indexation,indexer,retraite,csg,taux,retraité,rétablissement,isf,revalorisation
119,88,119_document_transmettre_préfet_proposition,document,transmettre,préfet,proposition,parlementaire,cahier,rural,association,maire,doléance
120,87,120_cahuzac_confiscatoire_sarl_gérant,cahuzac,confiscatoire,sarl,gérant,équipe,majoritaire,doélance,désabonnement,01,compter
121,87,121_socialiser_industrie_macdo_rembourser,socialiser,industrie,macdo,rembourser,artisan,commerce,davantage,demeurer,centre,protéger
122,86,122_devillele_dignelesbains_cyrille_cabinet,devillele,dignelesbains,cyrille,cabinet,mairi,envoyé,bain,décembre,attention,ville
